account_id,customer_id,account_type,open_date,status,initial_balance,currency
ACC001,CUST001,CHECKING,2018-01-15,ACTIVE,1500.00,USD
ACC002,CUST001,SAVINGS,2018-02-20,ACTIVE,5000.00,USD
ACC003,CUST002,CHECKING,2017-05-22,ACTIVE,2500.00,USD
ACC004,CUST003,CHECKING,2016-11-30,ACTIVE,3000.00,USD
ACC005,CUST003,SAVINGS,2017-01-15,ACTIVE,10000.00,USD
ACC006,CUST004,CHECKING,2019-02-01,ACTIVE,1000.00,USD
ACC007,CUST005,CHECKING,2018-08-14,ACTIVE,2000.00,USD
ACC008,CUST005,SAVINGS,2018-09-01,ACTIVE,7500.00,USD
ACC009,CUST006,CHECKING,2017-03-08,ACTIVE,4000.00,USD
ACC010,CUST006,SAVINGS,2017-04-15,CLOSED,0.00,USD
ACC011,CUST007,CHECKING,2019-06-20,ACTIVE,1800.00,USD
ACC012,CUST008,CHECKING,2015-12-01,ACTIVE,5500.00,USD
ACC013,CUST008,SAVINGS,2016-01-10,ACTIVE,15000.00,USD
ACC014,CUST009,CHECKING,2020-01-10,ACTIVE,1200.00,USD
ACC015,CUST010,CHECKING,2016-07-25,ACTIVE,3500.00,USD
ACC016,CUST010,SAVINGS,2016-08-01,ACTIVE,8000.00,USD
ACC017,CUST011,CHECKING,2018-04-03,ACTIVE,2200.00,USD
ACC018,CUST012,CHECKING,2019-09-15,ACTIVE,1600.00,USD
ACC019,CUST013,CHECKING,2017-11-20,ACTIVE,2800.00,USD
ACC020,CUST013,SAVINGS,2017-12-01,ACTIVE,6000.00,USD
ACC021,CUST014,CHECKING,2016-02-28,ACTIVE,4500.00,USD
ACC022,CUST014,SAVINGS,2016-03-15,ACTIVE,12000.00,USD
ACC023,CUST015,CHECKING,2020-03-05,ACTIVE,1400.00,USD
