transaction_id,account_id,amount,transaction_date,transaction_type,merchant_name,category,description
TXN0001,ACC001,45.50,2024-01-05 10:23:15,DEBIT,Walmart,GROCERY,Weekly groceries
TXN0002,ACC001,1200.00,2024-01-10 09:00:00,CREDIT,Employer Inc,SALARY,Monthly salary deposit
TXN0003,ACC001,85.00,2024-01-12 14:30:00,DEBIT,Shell Gas Station,GAS,Fuel purchase
TXN0004,ACC001,150.00,2024-01-15 11:00:00,TRANSFER,Internal Transfer,TRANSFER,Transfer to savings
TXN0005,ACC002,150.00,2024-01-15 11:00:00,CREDIT,Internal Transfer,TRANSFER,Transfer from checking
TXN0006,ACC003,67.80,2024-01-03 16:45:00,DEBIT,Target,GROCERY,Household items
TXN0007,ACC003,2500.00,2024-01-05 08:30:00,CREDIT,Client Corp,SALARY,Payroll deposit
TXN0008,ACC003,200.00,2024-01-08 13:15:00,DEBIT,Best Buy,ELECTRONICS,New headphones
TXN0009,ACC004,35.00,2024-01-02 09:20:00,DEBIT,Starbucks,FOOD,Coffee and snacks
TXN0010,ACC004,1800.00,2024-01-07 10:00:00,CREDIT,Pension Fund,SALARY,Pension payment
TXN0011,ACC004,500.00,2024-01-10 14:00:00,TRANSFER,Internal Transfer,TRANSFER,Move to savings
TXN0012,ACC005,500.00,2024-01-10 14:00:00,CREDIT,Internal Transfer,TRANSFER,From checking
TXN0013,ACC006,42.30,2024-01-04 11:30:00,DEBIT,Amazon,SHOPPING,Online purchase
TXN0014,ACC006,1500.00,2024-01-15 09:00:00,CREDIT,Tech Solutions,SALARY,Bi-weekly pay
TXN0015,ACC007,125.00,2024-01-06 17:00:00,DEBIT,Costco,GROCERY,Bulk shopping
TXN0016,ACC007,3200.00,2024-01-01 08:00:00,CREDIT,ABC Company,SALARY,Monthly salary
TXN0017,ACC007,75.00,2024-01-09 12:30:00,DEBIT,Uber,TRANSPORT,Ride services
TXN0018,ACC008,500.00,2024-01-10 10:00:00,CREDIT,Internal Transfer,TRANSFER,Savings deposit
TXN0019,ACC009,220.00,2024-01-03 15:45:00,DEBIT,Apple Store,ELECTRONICS,App store purchases
TXN0020,ACC009,4500.00,2024-01-05 09:00:00,CREDIT,Tech Giant Inc,SALARY,Payroll
TXN0021,ACC009,1000.00,2024-01-12 11:00:00,TRANSFER,Internal Transfer,TRANSFER,To savings
TXN0022,ACC011,55.00,2024-01-07 10:15:00,DEBIT,Trader Joes,GROCERY,Groceries
TXN0023,ACC011,2800.00,2024-01-10 08:30:00,CREDIT,Startup LLC,SALARY,Salary deposit
TXN0024,ACC012,180.00,2024-01-04 14:20:00,DEBIT,Home Depot,HOME,Home supplies
TXN0025,ACC012,3500.00,2024-01-01 09:00:00,CREDIT,Consulting Firm,SALARY,Monthly payment
TXN0026,ACC012,250.00,2024-01-11 16:00:00,DEBIT,Delta Airlines,TRAVEL,Flight booking
TXN0027,ACC013,1000.00,2024-01-08 10:00:00,CREDIT,Internal Transfer,TRANSFER,From checking
TXN0028,ACC014,38.50,2024-01-06 13:30:00,DEBIT,Netflix,ENTERTAINMENT,Streaming subscription
TXN0029,ACC014,1800.00,2024-01-15 08:00:00,CREDIT,Design Studio,SALARY,Freelance payment
TXN0030,ACC015,95.00,2024-01-02 11:45:00,DEBIT,Chevron,GAS,Gas fill-up
TXN0031,ACC015,2200.00,2024-01-05 09:30:00,CREDIT,Manufacturing Co,SALARY,Salary
